,id,participant,song
4294,4294,14,0
15819,15819,14,1
6879,6879,14,1
16499,16499,14,1
8391,8391,14,1
4917,4917,14,1
18385,18385,14,1
15536,15536,14,1
6613,6613,14,2
2032,2032,14,2
5239,5239,15,0
13131,13131,15,0
6182,6182,15,0
4742,4742,15,1
5187,5187,15,2
3059,3059,15,2
789,789,15,2
7517,7517,15,2
3444,3444,15,2
15151,15151,16,2
15535,15535,16,2
3447,3447,16,2
13397,13397,16,2
9408,9408,17,0
6353,6353,17,0
3150,3150,17,0
7904,7904,17,1
5977,5977,17,1
11647,11647,17,1
3483,3483,17,2
4183,4183,17,2
4550,4550,17,2
17944,17944,18,0
16754,16754,18,0
17319,17319,18,0
16423,16423,18,0
14371,14371,18,0
13658,13658,18,0
19832,19832,18,0
12706,12706,18,0
12727,12727,18,1
15123,15123,18,1
9793,9793,18,1
7322,7322,18,1
12464,12464,18,1
16490,16490,18,2
13688,13688,18,2
5489,5489,18,2
15589,15589,18,2
13408,13408,18,2
15203,15203,18,2
7741,7741,18,2
4803,4803,18,2
14468,14468,18,2
11485,11485,18,2
9774,9774,18,2
7258,7258,18,2
6001,6001,18,2
18099,18099,18,2
10592,10592,18,2
14011,14011,18,2
15908,15908,18,2
9110,9110,18,2
9517,9517,19,0
2786,2786,19,0
11607,11607,19,1
5167,5167,19,1
8601,8601,19,1
2412,2412,19,1
14696,14696,19,1
19378,19378,19,1
3469,3469,19,2
12728,12728,19,2
9845,9845,19,2
1758,1758,19,2
5419,5419,20,0
4146,4146,20,0
6144,6144,20,0
8813,8813,20,0
2878,2878,20,0
25527,25527,20,1
2657,2657,20,1
21933,21933,20,1
29650,29650,20,1
18828,18828,20,1
4633,4633,20,1
27174,27174,20,1
967,967,20,1
10002,10002,20,1
3746,3746,20,1
14476,14476,20,1
17180,17180,20,1
19908,19908,20,1
1443,1443,20,1
20993,20993,20,1
32137,32137,20,1
1935,1935,20,1
30051,30051,20,1
20661,20661,20,1
23249,23249,20,1
12179,12179,20,1
8111,8111,20,1
5461,5461,20,1
31386,31386,20,1
7267,7267,20,1
276,276,20,1
13575,13575,20,1
8651,8651,20,2
13102,13102,20,2
9065,9065,20,2
3474,3474,20,2
5156,5156,20,2
12269,12269,20,2
11068,11068,20,2
1722,1722,20,2
2410,2410,20,2
9905,9905,21,0
18087,18087,21,0
20174,20174,21,0
10387,10387,21,0
16123,16123,21,0
8529,8529,21,0
6692,6692,21,0
16629,16629,21,0
2124,2124,21,0
13530,13530,21,0
14980,14980,21,0
5848,5848,21,0
11606,11606,21,0
3359,3359,21,0
6740,6740,21,1
13705,13705,21,1
8492,8492,21,1
865,865,21,1
14906,14906,21,1
3617,3617,21,1
149,149,21,1
2760,2760,21,1
15617,15617,21,1
9017,9017,21,1
16611,16611,21,1
12513,12513,21,1
10355,10355,21,1
12091,12091,21,2
19181,19181,21,2
17144,17144,21,2
2854,2854,21,2
15560,15560,21,2
11082,11082,21,2
2515,2515,21,2
10184,10184,21,2
1177,1177,21,2
14219,14219,21,2
5431,5431,21,2
18000,18000,22,1
15878,15878,22,1
14429,14429,22,1
21002,21002,22,1
24837,24837,22,1
18352,18352,22,1
11015,11015,22,1
25596,25596,22,1
10891,10891,22,1
4463,4463,22,1
21849,21849,22,1
18635,18635,22,1
21523,21523,22,1
23923,23923,22,1
10098,10098,22,1
18130,18130,22,1
10697,10697,22,1
23362,23362,22,1
16666,16666,22,1
19627,19627,22,1
16894,16894,22,1
22059,22059,22,1
5486,5486,22,1
10529,10529,22,1
19174,19174,22,1
12271,12271,22,1
12744,12744,22,2
8687,8687,22,2
11732,11732,22,2
4627,4627,22,2
4454,4454,22,2
10556,10556,22,2
6190,6190,22,2
5415,5415,22,2
9807,9807,22,2
15976,15976,22,2
1952,1952,22,2
14487,14487,22,2
4154,4154,22,2
11601,11601,22,2
12362,12362,22,2
7023,7023,22,2
10294,10294,22,2
9967,9967,22,2
3420,3420,22,2
1275,1275,22,2
14728,14728,22,2
19462,19462,22,2
15203,15203,22,2
11247,11247,22,2
5688,5688,22,2
15566,15566,22,2
2396,2396,22,2
7308,7308,22,2
2895,2895,22,2
11928,11928,22,2
8942,8942,22,2
1792,1792,22,2
15758,15758,22,2
1488,1488,22,2
16769,16769,22,2
2743,2743,22,2
7554,7554,22,2
11391,11391,23,0
9975,9975,23,0
8512,8512,23,0
19417,19417,23,1
9507,9507,23,1
29092,29092,23,1
6086,6086,23,1
20819,20819,23,1
10783,10783,23,1
24068,24068,23,1
2995,2995,23,1
7065,7065,23,1
25378,25378,23,1
2048,2048,23,1
26915,26915,23,1
5289,5289,23,2
8722,8722,23,2
