participant,song,id,s,m,start,end
0,0,22091,368.1796515,6.136327525,366.6796515,369.6796515
0,0,15435,257.2474275,4.287457125,255.7474275,258.7474275
0,0,3999,66.6493335,1.110822225,65.1493335,68.1493335
0,0,11377,189.6147705,3.160246175,188.1147705,191.1147705
0,0,19683,328.0467195,5.467445325,326.5467195,329.5467195
0,0,14610,243.497565,4.05829275,241.997565,244.997565
0,0,12054,200.897991,3.34829985,199.397991,202.397991
0,0,2274,37.899621,0.63166035,36.399621,39.399621
0,0,11746,195.764709,3.26274515,194.264709,197.264709
0,0,9987,166.4483355,2.774138925,164.9483355,167.9483355
0,0,3778,62.966037,1.04943395,61.466037,64.466037
0,0,23049,384.1461585,6.402435975,382.6461585,385.6461585
0,0,20638,343.963227,5.73272045,342.463227,345.463227
0,0,12826,213.764529,3.56274215,212.264529,215.264529
0,0,6091,101.5156515,1.691927525,100.0156515,103.0156515
0,0,12334,205.564611,3.42607685,204.064611,207.064611
0,0,23653,394.2127245,6.570212075,392.7127245,395.7127245
0,0,17794,296.563701,4.94272835,295.063701,298.063701
0,0,5490,91.499085,1.52498475,89.999085,92.999085
0,0,4461,74.3492565,1.239154275,72.8492565,75.8492565
0,0,181,3.0166365,0.050277275,1.5166365,4.5166365
0,0,6979,116.3155035,1.938591725,114.8155035,117.8155035
0,0,17045,284.0804925,4.734674875,282.5804925,285.5804925
0,0,9075,151.2484875,2.520808125,149.7484875,152.7484875
0,0,11600,193.3314,3.22219,191.8314,194.8314
0,0,16498,274.963917,4.58273195,273.463917,276.463917
0,0,15111,251.8474815,4.197458025,250.3474815,253.3474815
0,0,4283,71.3826195,1.189710325,69.8826195,72.8826195
0,0,8320,138.66528,2.311088,137.16528,140.16528
0,0,24198,403.295967,6.72159945,401.795967,404.795967
0,0,10259,170.9816235,2.849693725,169.4816235,172.4816235
0,1,10853,180.8815245,3.014692075,179.3815245,182.3815245
0,1,3254,54.232791,0.90387985,52.732791,55.732791
0,1,541,9.0165765,0.150276275,7.5165765,10.5165765
0,1,11948,199.131342,3.3188557,197.631342,200.631342
