,id,participant,song
0,4.72884777105e-08,0,0
1,3.30404985497e-08,0,0
2,8.56034685457e-09,0,0
3,2.43538550049e-08,0,0
4,4.21338602497e-08,0,0
5,3.12744855077e-08,0,0
6,2.58030560102e-08,0,0
7,4.86777413036e-09,0,0
8,2.51437444746e-08,0,0
9,2.13783906068e-08,0,0
10,8.0872694215e-09,0,0
11,4.93391934611e-08,0,0
12,4.41781541347e-08,0,0
13,2.74556160932e-08,0,0
14,1.30385278047e-08,0,0
15,2.64024301336e-08,0,0
16,5.063212907e-08,0,0
17,3.80902255389e-08,0,0
18,1.17520140614e-08,0,0
19,9.5493141581e-09,0,0
20,3.87452558309e-10,0,0
21,1.49394000245e-08,0,0
22,3.6486899759e-08,0,0
23,1.94261434622e-08,0,0
24,2.48312136817e-08,0,0
25,3.53159795966e-08,0,0
26,3.23469370641e-08,0,0
27,9.1682834654e-09,0,0
28,1.7809973951e-08,0,0
29,5.17987679887e-08,0,0
30,2.19606397552e-08,0,0
31,2.32321691454e-08,0,1
32,6.96558356208e-09,0,1
33,1.15807643119e-09,0,1
34,2.55761500921e-08,0,1
35,3.42285436871e-09,0,1
36,1.44149476666e-08,0,1
37,5.69833541557e-09,0,1
38,2.71430853003e-08,0,1
39,2.51501663402e-08,0,1
40,2.74641785807e-08,0,1
41,2.08646413582e-08,0,1
42,3.28778112877e-08,0,1
43,2.06270323307e-08,0,1
44,7.90317594075e-09,0,1
45,1.58834142688e-08,0,1
46,3.16020006537e-08,0,1
47,3.10668451864e-08,0,1
48,2.43538550049e-08,0,1
49,1.55473366353e-08,0,1
50,2.22153737576e-08,0,1
51,2.60470869033e-08,0,1
52,2.66486016485e-08,0,1
53,6.35978757312e-09,0,1
54,9.29029891194e-10,0,1
55,4.16993140103e-09,0,1
56,9.26247082764e-09,0,1
57,1.24348724377e-08,0,1
58,2.88834108799e-08,0,1
59,3.0157080892e-08,0,1
60,1.65384445607e-08,0,2
61,2.43174644331e-08,0,2
62,3.61080096881e-08,0,2
63,3.67116650552e-08,0,2
64,1.72148810714e-08,0,2
65,2.96540347528e-08,0,2
66,2.62333210059e-08,0,2
67,2.8472411481e-08,0,2
68,3.38004193132e-08,0,2
69,2.90867699575e-08,0,2
70,3.58618381732e-08,0,2
71,1.19789199795e-08,0,2
72,3.00200810924e-08,0,2
73,1.75295524861e-08,0,2
74,1.15358112526e-08,0,2
75,3.3248138871e-08,0,2
76,3.10090483959e-08,0,2
77,3.30469204153e-08,0,2
78,3.50120112912e-08,0,2
79,3.04503460881e-08,0,2
80,3.13643916262e-08,0,2
81,1.89530660291e-08,0,2
82,1.95331745556e-08,0,2
83,4.43108726906e-09,0,2
84,3.42927623431e-08,0,2
85,2.51180570121e-08,0,2
86,1.6223773146e-08,0,2
87,6.16499098304e-10,1,0
88,2.49703541032e-08,1,0
89,2.37202309316e-08,1,0
90,7.83681666281e-09,1,0
91,2.48354949254e-08,1,0
92,3.08634861088e-08,1,0
93,2.47562919163e-08,1,0
94,3.13729541137e-08,1,0
95,2.04472200937e-08,1,0
96,1.52198214894e-09,1,0
97,6.35550632939e-09,1,0
98,2.09117350393e-08,1,0
99,1.815247345e-08,1,0
100,1.34516678255e-08,1,0
101,5.20171114194e-09,1,0
102,6.04725678023e-09,1,1
103,2.06741260119e-08,1,1
104,1.29892935018e-08,1,1
105,2.04450794719e-08,1,1
106,1.54210399451e-08,1,1
107,3.1809640975e-09,1,1
108,2.15089685408e-08,1,1
109,1.01315633065e-08,1,1
110,2.44715892077e-08,1,1
111,1.28629968115e-08,1,1
112,6.09863170509e-09,1,1
113,1.21951227883e-08,1,1
114,1.43314634137e-08,1,1
115,1.33788866819e-08,1,1
116,1.23556694285e-08,1,1
117,1.52176808675e-08,1,1
118,6.70014645031e-10,1,1
119,2.95470036593e-08,1,1
120,5.2873360167e-10,1,1
121,9.0227211783e-09,1,1
122,1.24241693283e-08,1,1
123,2.06184698433e-08,1,1
124,1.5487399223e-08,1,1
125,1.03006724342e-08,1,1
126,2.14554529941e-08,1,1
127,1.26767627089e-08,1,1
128,6.15214725182e-09,1,1
129,2.31272786739e-08,1,1
130,2.21233270172e-08,1,1
131,2.20719520924e-08,1,1
132,3.42156999558e-08,1,1
133,5.15033621708e-09,1,1
134,1.23000132599e-08,1,1
135,3.01057059672e-08,1,1
136,7.84109790655e-09,1,1
137,6.71941204714e-09,1,1
138,1.41002762518e-08,1,1
139,1.35715426502e-08,1,1
140,2.32000598174e-08,1,1
141,1.35051833722e-08,1,1
142,3.11481888174e-08,1,1
143,2.89454889141e-08,1,1
144,1.42308541858e-08,1,1
145,2.07383446679e-08,1,1
146,2.40391835901e-08,1,1
147,4.40325918476e-09,1,1
148,1.53140088516e-08,1,1
149,1.8398644965e-08,1,1
150,1.25290597999e-08,1,1
151,2.05307043466e-08,1,1
152,2.1031609864e-08,1,1
153,1.53675243983e-08,1,1
154,1.34302616068e-08,1,1
155,2.4809807463e-09,1,1
156,1.25997003216e-08,1,1
157,2.83140054627e-08,1,2
158,9.26461144951e-09,1,2
159,1.2053841745e-08,1,2
160,2.10894066545e-08,1,2
161,1.90750814756e-08,1,2
162,1.40167919989e-08,1,2
163,2.71002728629e-09,1,2
164,1.3819854787e-08,1,2
165,2.52400724587e-08,1,2
166,1.93576435624e-08,1,2
167,1.89123942136e-08,1,2
168,6.96130231834e-09,1,2
169,2.12585157821e-08,1,2
170,1.44920100539e-08,1,2
171,7.13897393348e-09,1,2
172,6.82858376246e-09,1,2
173,1.99570176857e-08,1,2
174,1.98414241048e-08,1,2
175,2.48740261191e-08,1,2
176,1.09599839698e-08,1,2
177,1.03884379308e-08,1,2
178,1.1987482467e-09,1,2
179,5.82035086211e-09,2,2
180,2.72201476876e-08,3,0
181,3.8711005881e-08,3,0
182,2.19349522928e-08,3,0
183,3.16148443849e-08,3,0
