id,participant,song,start,end,moment,songlen,ratio
90,1,0,183.1814865,186.1814865,184.6814865,300,0.615604955
91,1,0,59.5160565,62.5160565,61.0160565,300,0.203386855
92,1,0,191.864733,194.864733,193.364733,300,0.64454911
93,1,0,238.797597,241.797597,240.297597,300,0.80099199
94,1,0,191.2480725,194.2480725,192.7480725,300,0.642493575
95,1,0,242.764224,245.764224,244.264224,300,0.81421408
96,1,0,157.698408,160.698408,159.198408,300,0.53066136
97,1,0,10.3498815,13.3498815,11.8498815,300,0.039499605
98,1,0,47.9828385,50.9828385,49.4828385,300,0.164942795
99,1,0,161.3150385,164.3150385,162.8150385,300,0.542716795
100,1,0,139.83192,142.83192,141.33192,300,0.4711064
101,1,0,103.232286,106.232286,104.732286,300,0.34910762
102,1,0,38.999595,41.999595,40.499595,300,0.13499865
103,1,1,45.5828625,48.5828625,47.0828625,267,0.176340308989
104,1,1,159.465057,162.465057,160.965057,267,0.602865382022
105,1,1,99.632322,102.632322,101.132322,267,0.378772741573
106,1,1,157.6817415,160.6817415,159.1817415,267,0.596186297753
107,1,1,118.565466,121.565466,120.065466,267,0.449683393258
108,1,1,23.266419,26.266419,24.766419,267,0.0927581235955
109,1,1,165.964992,168.964992,167.464992,267,0.627209707865
110,1,1,77.3825445,80.3825445,78.8825445,267,0.295440241573
111,1,1,189.031428,192.031428,190.531428,267,0.713600853933
112,1,1,98.6489985,101.6489985,100.1489985,267,0.375089882022
113,1,1,45.9828585,48.9828585,47.4828585,267,0.177838421348
114,1,1,93.4490505,96.4490505,94.9490505,267,0.355614421348
115,1,1,110.0822175,113.0822175,111.5822175,267,0.417910926966
116,1,1,102.665625,105.665625,104.165625,267,0.390133426966
117,1,1,94.699038,97.699038,96.199038,267,0.360296022472
118,1,1,116.9821485,119.9821485,118.4821485,267,0.443753365169
119,1,1,3.7166145,6.7166145,5.2166145,267,0.0195378820225
120,1,1,228.5476995,231.5476995,230.0476995,267,0.861601870787
121,1,1,2.6166255,5.6166255,4.1166255,267,0.0154180730337
122,1,1,68.7492975,71.7492975,70.2492975,267,0.263105983146
123,1,1,95.232366,98.232366,96.732366,267,0.362293505618
124,1,1,159.031728,162.031728,160.531728,267,0.601242426966
125,1,1,119.0821275,122.0821275,120.5821275,267,0.451618455056
126,1,1,78.699198,81.699198,80.199198,267,0.30037152809
127,1,1,165.5483295,168.5483295,167.0483295,267,0.625649174157
128,1,1,97.199013,100.199013,98.699013,267,0.369659224719
129,1,1,46.399521,49.399521,47.899521,267,0.179398955056
130,1,1,178.564866,181.564866,180.064866,267,0.674400247191
131,1,1,170.7482775,173.7482775,172.2482775,267,0.645124634831
132,1,1,170.3482815,173.3482815,171.8482815,267,0.643626522472
133,1,1,264.897336,267.897336,266.397336,267,0.997742831461
134,1,1,38.599599,41.599599,40.099599,267,0.150185764045
135,1,1,94.265709,97.265709,95.765709,267,0.358673067416
136,1,1,232.897656,235.897656,234.397656,267,0.877893842697
137,1,1,59.5493895,62.5493895,61.0493895,267,0.228649398876
138,1,1,50.8161435,53.8161435,52.3161435,267,0.19594061236
139,1,1,108.2822355,111.2822355,109.7822355,267,0.411169421348
140,1,1,104.16561,107.16561,105.66561,267,0.395751348315
141,1,1,179.131527,182.131527,180.631527,267,0.676522573034
142,1,1,103.6489485,106.6489485,105.1489485,267,0.393816286517
143,1,1,241.0142415,244.0142415,242.5142415,267,0.908293039326
144,1,1,223.864413,226.864413,225.364413,267,0.84406147191
145,1,1,109.298892,112.298892,110.798892,267,0.414977123596
146,1,1,159.965052,162.965052,161.465052,267,0.604738022472
147,1,1,185.664795,188.664795,187.164795,267,0.700991741573
148,1,1,32.7829905,35.7829905,34.2829905,267,0.128400713483
149,1,1,117.732141,120.732141,119.232141,267,0.446562325843
150,1,1,141.7485675,144.7485675,143.2485675,267,0.536511488764
151,1,1,96.0490245,99.0490245,97.5490245,267,0.365352151685
152,1,1,158.3484015,161.3484015,159.8484015,267,0.598683151685
153,1,1,162.2483625,165.2483625,163.7483625,267,0.613289747191
154,1,1,118.1488035,121.1488035,119.6488035,267,0.448122859551
155,1,1,103.065621,106.065621,104.565621,267,0.391631539326
156,1,1,17.8164735,20.8164735,19.3164735,267,0.0723463426966
157,1,1,96.599019,99.599019,98.099019,267,0.36741205618
158,1,2,218.9477955,221.9477955,220.4477955,242,0.910941303719
159,1,2,70.632612,73.632612,72.132612,242,0.298068644628
160,1,2,92.3490615,95.3490615,93.8490615,242,0.387806039256
161,1,2,162.698358,165.698358,164.198358,242,0.67850561157
162,1,2,147.0151815,150.0151815,148.5151815,242,0.613699097107
163,1,2,107.632242,110.632242,109.132242,242,0.450959677686
164,1,2,19.599789,22.599789,21.099789,242,0.0871892107438
165,1,2,106.098924,109.098924,107.598924,242,0.444623652893
166,1,2,195.0147015,198.0147015,196.5147015,242,0.812044221074
167,1,2,149.2151595,152.2151595,150.7151595,242,0.622789915289
168,1,2,145.7485275,148.7485275,147.2485275,242,0.608464989669
169,1,2,52.699458,55.699458,54.199458,242,0.223964702479
170,1,2,164.0150115,167.0150115,165.5150115,242,0.683946328512
171,1,2,111.332205,114.332205,112.832205,242,0.466248780992
172,1,2,54.0827775,57.0827775,55.5827775,242,0.22968089876
173,1,2,51.666135,54.666135,53.166135,242,0.219694772727
174,1,2,153.8817795,156.8817795,155.3817795,242,0.642073469008
175,1,2,152.9817885,155.9817885,154.4817885,242,0.638354497934
176,1,2,192.16473,195.16473,193.66473,242,0.800267479339
177,1,2,83.83248,86.83248,85.33248,242,0.352613553719
178,1,2,79.3825245,82.3825245,80.8825245,242,0.334225307851
179,1,2,7.83324,10.83324,9.33324,242,0.038567107438
180,2,2,43.8162135,46.8162135,45.3162135,257,0.176327678988
181,3,0,210.431214,213.431214,211.931214,355,0.596989335211
182,3,0,299.896986,302.896986,301.396986,355,0.849005594366
183,3,0,169.2816255,172.2816255,170.7816255,355,0.481075001408
184,3,0,244.6475385,247.6475385,246.1475385,355,0.693373347887
185,3,0,237.9476055,240.9476055,239.4476055,355,0.674500297183
186,3,0,151.765134,154.765134,153.265134,355,0.431732771831
187,3,0,226.7143845,229.7143845,228.2143845,355,0.642857421127
188,3,0,163.1483535,166.1483535,164.6483535,355,0.463798178873
189,3,0,307.996905,310.996905,309.496905,355,0.871822267606
190,3,1,255.930759,258.930759,257.430759,311,0.827751636656
191,3,1,70.9826085,73.9826085,72.4826085,311,0.233063049839
192,3,1,237.730941,240.730941,239.230941,311,0.769231321543
193,3,1,100.83231,103.83231,102.33231,311,0.329042797428
194,3,1,44.932869,47.932869,46.432869,311,0.149301829582
195,3,1,26.8497165,29.8497165,28.3497165,311,0.0911566446945
196,3,1,209.064561,212.064561,210.564561,311,0.677056466238
197,3,1,55.932759,58.932759,57.432759,311,0.184671250804
