id,participant,song,start,end
1,0,0,366.6796515,369.6796515
2,0,0,255.7474275,258.7474275
3,0,0,65.1493335,68.1493335
4,0,0,188.1147705,191.1147705
5,0,0,326.5467195,329.5467195
6,0,0,241.997565,244.997565
7,0,0,199.397991,202.397991
8,0,0,36.399621,39.399621
9,0,0,194.264709,197.264709
10,0,0,164.9483355,167.9483355
11,0,0,61.466037,64.466037
12,0,0,382.6461585,385.6461585
13,0,0,342.463227,345.463227
14,0,0,212.264529,215.264529
15,0,0,100.0156515,103.0156515
16,0,0,204.064611,207.064611
17,0,0,392.7127245,395.7127245
18,0,0,295.063701,298.063701
19,0,0,89.999085,92.999085
20,0,0,72.8492565,75.8492565
21,0,0,1.5166365,4.5166365
22,0,0,114.8155035,117.8155035
23,0,0,282.5804925,285.5804925
24,0,0,149.7484875,152.7484875
25,0,0,191.8314,194.8314
26,0,0,273.463917,276.463917
27,0,0,250.3474815,253.3474815
28,0,0,69.8826195,72.8826195
29,0,0,137.16528,140.16528
30,0,0,401.795967,404.795967
31,0,0,169.4816235,172.4816235
32,0,1,179.3815245,182.3815245
33,0,1,52.732791,55.732791
34,0,1,7.5165765,10.5165765
35,0,1,197.631342,200.631342
36,0,1,25.1497335,28.1497335
37,0,1,110.732211,113.732211
38,0,1,42.866223,45.866223
39,0,1,209.83122,212.83122
40,0,1,194.3147085,197.3147085
41,0,1,212.331195,215.331195
42,0,1,160.9483755,163.9483755
43,0,1,254.4807735,257.4807735
44,0,1,159.098394,162.098394
45,0,1,60.032718,63.032718
46,0,1,122.16543,125.16543
47,0,1,244.5475395,247.5475395
48,0,1,240.3809145,243.3809145
49,0,1,188.1147705,191.1147705
50,0,1,119.5487895,122.5487895
51,0,1,171.464937,174.464937
52,0,1,201.297972,204.297972
53,0,1,205.9812585,208.9812585
54,0,1,48.0161715,51.0161715
55,0,1,5.733261,8.733261
56,0,1,30.966342,33.966342
57,0,1,70.6159455,73.6159455
58,0,1,95.3156985,98.3156985
59,0,1,223.3810845,226.3810845
60,0,1,233.297652,236.297652
61,0,2,127.265379,130.265379
62,0,2,187.83144,190.83144
63,0,2,279.630522,282.630522
64,0,2,284.330475,287.330475
65,0,2,132.531993,135.531993
